time,low,high,open,close,volume
1484179200,742.1,840.0,795.8,812.24,3058.03109567
1484265600,785.0,834.98,812.25,831.4,1692.37403614
1484352000,823.89,847.14,831.42,827.01,1056.84533975
1484438400,819.0,834.96,828.0,833.14,942.63532708
1484524800,826.03,839.97,833.43,834.41,1008.66473593
1484611200,831.8,909.0,834.4,906.08,2044.9481261
1484697600,853.38,916.7,906.09,887.99,1686.43922622
1484784000,885.67,907.0,887.98,902.92,1105.66720256
1484870400,890.0,904.57,902.92,894.2,1078.12832524
1484956800,893.47,929.0,894.31,925.0,1346.48886244
1485043200,902.0,945.6,925.06,931.21,1771.36035794
1485129600,910.7,930.8,929.45,910.7,1340.86669712
1485216000,882.17,923.0,911.78,887.0,2016.25444829
1485302400,886.99,903.98,887.0,896.27,1364.59151202
1485388800,896.2,921.95,896.75,917.02,1359.74420395
1485475200,911.31,924.47,917.02,922.63,1091.37505606
1485561600,922.08,925.5,922.89,924.98,890.74071422
1485648000,915.85,927.47,924.69,916.53,799.88549728
1485734400,915.02,923.75,916.56,923.23,1014.87915404
1485820800,923.03,972.3,923.26,970.02,2166.50893172
1485907200,964.1,992.39,970.01,992.39,1792.12890143
1485993600,978.9,1010.0,992.75,1008.38,1956.7592423
1486080000,994.34,1024.49,1008.4,1018.01,1667.74996102
1486166400,1002.51,1040.11,1018.48,1035.54,1320.20586186
1486252800,1004.11,1036.3,1035.54,1016.24,1370.07930675
1486339200,1015.43,1027.7,1016.32,1022.6,1304.7558913
1486425600,1022.52,1058.2,1022.65,1053.95,1423.63376407
1486512000,1017.76,1069.94,1053.95,1056.78,2018.60858885
1486598400,941.99,1078.96,1057.22,994.24,3645.98117013
1486684800,965.15,1007.96,993.58,1001.55,1846.49132266
1486771200,1000.04,1023.89,1001.88,1018.65,1346.25325487
1486857600,1008.03,1018.66,1018.63,1010.0,601.82614888
1486944000,986.58,1021.31,1009.99,1002.82,1668.78947945
1487030400,992.79,1018.97,1002.88,1013.92,2027.59574344
1487116800,1007.97,1016.0,1013.92,1014.5,1468.00961539
1487203200,1013.54,1041.88,1014.58,1038.94,2370.71457052
1487289600,1037.09,1064.34,1038.95,1057.3,2108.16555865
1487376000,1055.61,1073.8,1057.29,1062.15,1404.63832539
1487462400,1051.36,1067.78,1062.14,1059.88,1103.2718121
1487548800,1051.42,1094.7,1059.88,1089.82,1644.97456644
1487635200,1083.13,1132.51,1089.98,1129.99,2448.65039623
1487721600,1107.5,1139.97,1129.67,1129.24,1916.81978077
1487808000,1128.54,1197.0,1129.87,1185.3,2698.16498149
1487894400,1104.42,1220.04,1185.81,1186.91,2909.0576385
1487980800,1116.76,1189.47,1186.91,1157.99,1448.67754975
1488067200,1133.26,1185.9,1157.98,1184.91,1611.41725701
1488153600,1176.01,1198.99,1184.91,1195.81,1453.32256027
1488240000,1180.97,1214.93,1195.84,1197.95,1383.37443006
1488326400,1188.0,1230.0,1194.53,1230.0,2941.31622517
1488412800,1220.0,1297.97,1230.0,1269.17,2951.17871495
1488499200,1258.53,1294.99,1269.17,1292.89,2324.79881213
1488585600,1240.05,1294.07,1293.06,1273.97,1593.34127974
1488672000,1247.64,1278.99,1273.94,1278.97,1244.42088996
1488758400,1269.72,1287.96,1278.63,1284.99,1428.57877487
1488844800,1185.5,1288.0,1284.99,1237.36,2417.35402106
1488931200,1143.22,1246.0,1237.36,1150.22,2937.43099718
1489017600,1131.11,1214.33,1150.22,1197.3,2831.84797079
1489104000,978.7,1350.0,1197.3,1113.99,4958.01331278
1489190400,1108.13,1218.28,1111.92,1187.97,2768.20353741
1489276800,1178.66,1243.98,1188.11,1235.57,2279.74815574
1489363200,1215.76,1249.0,1235.27,1245.49,2488.44059464
1489449600,1229.87,1261.63,1245.5,1248.42,2367.19554651
1489536000,1245.05,1264.54,1247.43,1263.68,2513.98213724
1489622400,1120.01,1277.24,1263.55,1175.11,3762.13694084
1489708800,1066.17,1175.11,1175.11,1069.57,5495.56501077
1489795200,925.64,1096.0,1068.78,970.0,5775.19450347
1489881600,969.97,1061.68,970.0,1019.12,4118.55598438
1489968000,1011.24,1051.96,1019.1,1045.98,2162.26996792
1490054400,1043.96,1120.0,1046.75,1114.42,3503.71404747
1490140800,987.16,1114.94,1114.42,1038.54,3327.88220125
1490227200,1013.68,1054.68,1038.94,1025.14,1739.41379179
1490313600,922.72,1030.08,1025.13,934.85,4168.23328489
1490400000,890.51,973.68,933.93,963.89,4585.70866682
1490486400,949.07,1005.0,963.72,973.08,2777.29607911
1490572800,961.1,1045.9,973.97,1041.87,2894.87896105
1490659200,1016.79,1067.6,1042.27,1045.21,2535.44977465
1490745600,1007.63,1058.1,1045.54,1043.27,3003.87670552
1490832000,1022.27,1052.42,1043.09,1042.09,2509.84375877
1490918400,1040.75,1094.1,1042.32,1088.99,4044.06404243
1491004800,1071.46,1110.94,1088.99,1092.0,2571.00448165
1491091200,1080.84,1118.99,1092.0,1113.73,2661.15707202
1491177600,1112.25,1168.26,1113.23,1152.3,3455.39716213
1491264000,1126.1,1164.13,1152.09,1143.99,2661.40079874
1491350400,1115.55,1144.96,1143.98,1132.99,2995.03627647
1491436800,1132.98,1206.91,1132.99,1192.3,3500.48150156
1491523200,1175.89,1202.92,1192.29,1193.99,2223.58000767
1491609600,1173.79,1197.98,1194.0,1184.5,1517.50693556
1491696000,1176.57,1220.98,1184.5,1210.98,2047.44868689
1491782400,1201.03,1219.42,1210.99,1210.0,1801.67403234
1491868800,1200.51,1234.0,1210.0,1222.79,2040.45497846
1491955200,1209.98,1227.86,1224.0,1214.18,2125.70202717
1492041600,1148.98,1219.48,1214.68,1176.63,2133.56301689
1492128000,1170.71,1196.54,1177.05,1173.09,1949.70164952
1492214400,0.06,1190.99,1173.13,1178.84,1154.94730811
1492300800,1173.08,1189.84,1178.84,1177.97,1051.68993297
1492387200,1170.94,1197.1,1177.63,1189.92,1753.91052137
1492473600,1189.87,1206.58,1190.95,1201.96,1652.10031913
1492560000,1191.35,1215.31,1201.88,1214.21,1606.34309537
1492646400,1212.33,1240.57,1214.22,1236.15,2215.16101665
1492732800,1236.15,1258.59,1236.15,1250.05,1951.73399577
1492819200,1221.55,1252.74,1249.98,1246.99,2469.92544927
1492905600,1236.5,1254.0,1246.79,1251.93,1880.15232292
1492992000,1246.32,1261.14,1251.91,1257.28,1879.51555815
1493078400,1256.18,1287.0,1256.65,1281.16,2508.89826181
1493164800,1279.59,1320.0,1281.18,1298.4,2910.6901924
1493251200,1295.8,1360.0,1297.56,1349.45,3092.7632923
1493337600,1300.22,1380.42,1349.77,1353.33,4096.32693874
1493424000,1335.75,1369.5,1352.96,1365.34,3000.21623367
1493510400,1336.02,1391.8,1364.98,1384.55,2860.06686295
1493596800,1380.01,1466.24,1384.55,1436.5,5155.65530236
